CreatedOn,ID,Text,User,Location
2020-11-06 02:28:15,1324539060409540613,@blondedocean John Mayer’s wildfire is my favorite Frank Ocean feature lately https://t.co/5WXawUPjMC,puta_kinte,
2020-11-06 02:22:10,1324537529446662144,I'm afraid that I might be starting down a slippery slope. https://t.co/6iQglTEARU,Wildfire_draft,"Vestal, NY"
2020-11-06 02:22:09,1324537525235580932,"Running out of wildfire names, Bay season goes Russian",DeathLocal,
2020-11-06 02:22:04,1324537504016474113,"In California, insurers are barred from canceling or not renewing homes for a year due to wildfire risk in many are… https://t.co/FxEKUCjgX1",techchronicle,San Francisco
2020-11-06 02:21:39,1324537400954101760,"Look, I know you followed me for wildfire content... but I'm also going to amplify examples of the robust, reliable… https://t.co/HUWIcJhyOS",ericbkennedy,"Toronto, Ontario"
2020-11-06 02:21:27,1324537350547013632,Ready or Not’ Play Goes Virtual to Teach Kids About Wildfire Safety https://t.co/QP4sy9J7El,SCE_JuanL,"Victorville, CA"
2020-11-06 02:21:24,1324537335027916800,@blondedocean Wildfire,dubeagu,"Los Angeles, CA"
2020-11-06 02:19:39,1324536895364354052,"I've ""rock-climbed"" to this picturesque spot and enjoyed this view more than a time or two - as have my MCs in WILD… https://t.co/Wz2S4tE41b",ToniRDraper,
2020-11-06 02:17:21,1324536319255728133,@Lycan6574 Not many left either.,Wildfire_draft,"Vestal, NY"
2020-11-06 02:16:50,1324536188586385414,There is nothing worse than the hell the is dejection. It is a poison. A fast moving cancer that will spread like w… https://t.co/YKcFPkPRvZ,DannyDravot_,
2020-11-06 02:16:13,1324536034495991810,Parts of Rocky Mountain National Park to reopen after East Troublesome Fire https://t.co/dLaBMq5uCH via @9NEWS,SkonieSkoop,"Wilmington, DE"
2020-11-06 02:15:30,1324535851376922624,"@GTABiker We need this lady next time a wildfire breaks out, not an election",Dirty_Worka,New England
2020-11-06 02:10:16,1324534535741181952,@Wildfire_draft Nice truck,Lycan6574,North Dakota.. somewhere..
2020-11-06 02:09:58,1324534458444230656,"Please be responsible. 🔥🌲 
#wildfire #smokey #firefighter #tiktok https://t.co/F6HKBnDVJa",wildlandmike,"Honolulu, HI"
2020-11-06 02:08:17,1324534038057619458,@DrKarlynB Its not true. MI posted that # but it was a type-o. A conservative blogger tweeted that all 128k went Bi… https://t.co/gOEQER4PcA,MATH_0522,
2020-11-06 02:07:17,1324533784000163840,"@kdbowlin Oh? He will *drip* with hate and will spread it around like wildfire. It’s going to be tough, and that scares the piss out of me.",thealmightymeh,
2020-11-06 02:06:14,1324533521231339520,@blondedocean wildfire pt.2,xXx_yolanda_xXx,
2020-11-06 02:05:58,1324533453493252097,@Wildfire_draft I don't think you understand,ZephriFox,"Michigan, USA"
2020-11-06 02:04:17,1324533030392791045,"@PhilstarNews Some politicians are the real monsters and as long as there is a bad govt, no one is safe",sakura_wildfire,
2020-11-06 02:03:28,1324532821860503554,You gotta start a wildfire https://t.co/pAJb5qY5g7,NakersUnited,
2020-11-06 02:02:55,1324532687416172545,The first significant rain of the season in our region has officials concerned about potential landslides in areas… https://t.co/UEltaBnkfM,KLCCEugeneOR,"Eugene OR, USA"
