CreatedOn,ID,Text,User,Location,OriginalText,token,Target
2020-11-06 02:28:15,1324539060409540613, John Mayers wildfire is my favorite Frank Ocean feature lately ,puta_kinte,,@blondedocean John Mayer’s wildfire is my favorite Frank Ocean feature lately https://t.co/5WXawUPjMC,john mayers wildfire favorite frank ocean feature lately,0
2020-11-06 02:22:10,1324537529446662144,Im afraid that I might be starting down a slippery slope ,Wildfire_draft,"Vestal, NY",I'm afraid that I might be starting down a slippery slope. https://t.co/6iQglTEARU,afraid may start slippery slope,0
2020-11-06 02:22:09,1324537525235580932,Running out of wildfire names Bay season goes Russian,DeathLocal,,"Running out of wildfire names, Bay season goes Russian",run wildfire name bay season go russian,1
2020-11-06 02:22:04,1324537504016474113,In California insurers are barred from canceling or not renewing homes for a year due to wildfire risk in many are ,techchronicle,San Francisco,"In California, insurers are barred from canceling or not renewing homes for a year due to wildfire risk in many are… https://t.co/FxEKUCjgX1",california insurer bar cancel renew home year due wildfire risk many,1
2020-11-06 02:21:39,1324537400954101760,Look I know you followed me for wildfire content but Im also going to amplify examples of the robust reliable ,ericbkennedy,"Toronto, Ontario","Look, I know you followed me for wildfire content... but I'm also going to amplify examples of the robust, reliable… https://t.co/HUWIcJhyOS",look know follow wildfire content also go amplify example robust reliable,0
2020-11-06 02:21:27,1324537350547013632,Ready or Not Play Goes Virtual to Teach Kids About Wildfire Safety ,SCE_JuanL,"Victorville, CA",Ready or Not’ Play Goes Virtual to Teach Kids About Wildfire Safety https://t.co/QP4sy9J7El,ready play go virtual teach kid wildfire safety,0
2020-11-06 02:21:24,1324537335027916800, Wildfire,dubeagu,"Los Angeles, CA",@blondedocean Wildfire,wildfire,0
2020-11-06 02:19:39,1324536895364354052,Ive rockclimbed to this picturesque spot and enjoyed this view more than a time or two  as have my MCs in WILD ,ToniRDraper,,"I've ""rock-climbed"" to this picturesque spot and enjoyed this view more than a time or two - as have my MCs in WILD… https://t.co/Wz2S4tE41b",rockclimbe picturesque spot enjoy view time two mcs wild,0
2020-11-06 02:17:21,1324536319255728133, Not many left either,Wildfire_draft,"Vestal, NY",@Lycan6574 Not many left either.,many leave either,0
2020-11-06 02:16:50,1324536188586385414,There is nothing worse than the hell the is dejection It is a poison A fast moving cancer that will spread like w ,DannyDravot_,,There is nothing worse than the hell the is dejection. It is a poison. A fast moving cancer that will spread like w… https://t.co/YKcFPkPRvZ,nothing bad hell dejection poison fast move cancer spread like w,0
2020-11-06 02:16:13,1324536034495991810,Parts of Rocky Mountain National Park to reopen after East Troublesome Fire  via ,SkonieSkoop,"Wilmington, DE",Parts of Rocky Mountain National Park to reopen after East Troublesome Fire https://t.co/dLaBMq5uCH via @9NEWS,part rocky mountain national park reopen east troublesome fire via,1
2020-11-06 02:15:30,1324535851376922624, We need this lady next time a wildfire breaks out not an election,Dirty_Worka,New England,"@GTABiker We need this lady next time a wildfire breaks out, not an election",need lady next time wildfire break election,0
2020-11-06 02:10:16,1324534535741181952,draft Nice truck,Lycan6574,North Dakota.. somewhere..,@Wildfire_draft Nice truck,draft nice truck,0
2020-11-06 02:09:58,1324534458444230656,Please be responsible  wildfire smokey firefighter tiktok ,wildlandmike,"Honolulu, HI","Please be responsible. 🔥🌲 
#wildfire #smokey #firefighter #tiktok https://t.co/F6HKBnDVJa",please responsible wildfire smokey firefighter tiktok,1
2020-11-06 02:08:17,1324534038057619458, Its not true MI posted that  but it was a typeo A conservative blogger tweeted that all 128k went Bi ,MATH_0522,,@DrKarlynB Its not true. MI posted that # but it was a type-o. A conservative blogger tweeted that all 128k went Bi… https://t.co/gOEQER4PcA,true mi post typeo conservative blogger tweet 128k go bi,0
2020-11-06 02:07:17,1324533784000163840, Oh He will drip with hate and will spread it around like wildfire Its going to be tough and that scares the piss out of me,thealmightymeh,,"@kdbowlin Oh? He will *drip* with hate and will spread it around like wildfire. It’s going to be tough, and that scares the piss out of me.",oh drip hate spread around like wildfire go tough scare piss,0
2020-11-06 02:06:14,1324533521231339520, wildfire pt2,xXx_yolanda_xXx,,@blondedocean wildfire pt.2,wildfire pt2,1
2020-11-06 02:05:58,1324533453493252097,draft I dont think you understand,ZephriFox,"Michigan, USA",@Wildfire_draft I don't think you understand,draft think understand,0
2020-11-06 02:04:17,1324533030392791045, Some politicians are the real monsters and as long as there is a bad govt no one is safe,sakura_wildfire,,"@PhilstarNews Some politicians are the real monsters and as long as there is a bad govt, no one is safe",politician real monster long bad govt one safe,0
2020-11-06 02:03:28,1324532821860503554,You gotta start a wildfire ,NakersUnited,,You gotta start a wildfire https://t.co/pAJb5qY5g7,get start wildfire,1
2020-11-06 02:02:55,1324532687416172545,The first significant rain of the season in our region has officials concerned about potential landslides in areas ,KLCCEugeneOR,"Eugene OR, USA",The first significant rain of the season in our region has officials concerned about potential landslides in areas… https://t.co/UEltaBnkfM,first significant rain season region official concern potential landslide area,1
2020-11-06 02:01:43,1324532382339420164,Yay One of my subscribers just renewed Follow me on AVNStars at ,Miss_Wildfire,"London, England",Yay! One of my subscribers just renewed! Follow me on #AVNStars at https://t.co/7boCNzposG,yay one subscriber renew follow avnstar,0
2020-11-06 02:01:05,1324532225820495872,Parts of Rocky Mountain National Park to reopen after East Troublesome Fire ,9NEWS,"Denver, Colorado",Parts of Rocky Mountain National Park to reopen after East Troublesome Fire https://t.co/EfkcvtSjxr,part rocky mountain national park reopen east troublesome fire,1
2020-11-06 02:00:57,1324532189405597699, That is so beautifully soothing Thanks for sharing Its a real shit show here as Im sure youv ,laini_wildfire,"New Haven, CT","@NigelJohnHarri1 That is so beautifully soothing! Thanks for sharing! It’s a real shit show here, as I’m sure you’v… https://t.co/OJIi1zgNwL",beautifully soothing thank share real shit show sure youv,0
2020-11-06 02:00:56,1324532185223753729,Spreading like wildfire Facebook fights hate speech before Myanmar poll,Chinesepop,Singapore,"'Spreading like wildfire': Facebook fights hate speech before Myanmar poll

https://t.co/sRXDGTnZ7D",spread like wildfire facebook fight hate speech myanmar poll,0
2020-11-06 02:00:48,1324532153103900673, If AOC did this republicans would be spreading this like wildfire,Ratique22,"Uniontown, OH","@RealMattyDubbs If AOC did this, republicans would be spreading this like wildfire.",aoc republicans would spread like wildfire,0
2020-11-06 02:00:11,1324531998367584258,Firefighters work long days in hot and dangerous conditions especially as our wildfire seasons continue to length ,firewxavy,"La Grande, Oregon, USA",#Firefighters work long days in hot and dangerous conditions; especially as our wildfire seasons continue to length… https://t.co/HJtAkxvuqA,firefighter work long day hot dangerous condition especially wildfire season continue length,1
2020-11-06 02:00:08,1324531985939861504,PGampE and The PGampE Corporation Foundation to contribute 250000 to tribal communities and organizations assisting r ,PGE4Me,"We're here from 8-5, Mon-Fri.","PG&amp;E and The PG&amp;E Corporation Foundation to contribute $250,000 to tribal communities and organizations assisting r… https://t.co/xzdWhxLEXq",pgampe pgampe corporation foundation contribute 250000 tribal community organization assist r,0
2020-11-06 02:00:03,1324531963399704576, All will be revealed soon,Wildfire_draft,"Vestal, NY",@DreamfinderDrgn All will be revealed soon.,reveal soon,0
2020-11-06 01:59:10,1324531742032670721,Almost forgot about this ,Wildfire_draft,"Vestal, NY",Almost forgot about this. https://t.co/pkxAPQ9iDO,almost forgot,0
2020-11-06 01:57:50,1324531404999372800,maxp0wer  It must have once m right Then just spreads like wildfire through their social circle Ju ,JackDoorsey,USA,"@_max_p0wer_ @ElvisEyed It must have once m, right? Then just spreads like wildfire through their social circle. Ju… https://t.co/eQOcOLqWLO",maxp0wer must right spread like wildfire social circle ju,0
